Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
ISM2_145501.,2.438010884,0.138628793,-0.757603614,-1.113942648
CHIC2_26511.,-2.437667825,1.041759131,1.655651774,-0.387853403
CHORDC1_26973.,-2.435121549,1.105121279,-0.03696334,-0.480948117
CASKIN2_57513.,-2.435086312,2.57248327,-0.234556547,0.108904914
GCC2_9648.,-2.431267567,0.449308225,0.899190185,-0.052380607
PROM2_150696.,-2.428796928,0.773389899,-0.642433081,1.287042557
ZNF747_65988.,-2.428459059,0.037357993,0.13156191,0.813700171
CDK5R1_8851.,-2.428342814,1.808909125,-0.56073252,1.312876663
C1QTNF6_114904.,2.427811065,0.26888762,0.55990676,-0.973743527
HIST1H3A_8350.,-2.427651266,1.022487392,2.99300896,-0.347694904
COX8A_1351.,-2.425773887,1.021747972,1.018709433,0.536726346
PEX6_5190.,-2.425378599,0.500613084,3.424151842,-1.327338591
ATP5L2_267020.,-2.422180836,0.622758151,0.256347756,1.068557818
PSAP_5660.,-2.4201177,0.408043924,-0.400641948,1.073764753
C14orf93_60686.,-2.41863258,0.97084458,0.029741778,0.285824056
PRLH_51052.,2.416871537,0.913388779,-1.052055114,-0.966149617
SRCAP_10847.,2.411499084,-1.039702812,-0.98343328,-0.002302542
MUCL1_118430.,2.411307183,-1.691619565,-0.021836009,-0.121177363
TXNDC12_51060.,-2.410946049,1.83249941,0.072031188,0.556449433
KALRN_8997.,-2.410503795,4.218259411,0.576329784,-0.198894285
TEKT1_83659.,2.407499528,-0.872480936,-2.113474213,0.383565995
RFC2_5982.,-2.399268332,1.114530436,0.009727488,1.040763205
GRIK3_2899.,-2.396418868,0.644218727,0.281402377,1.262430132
GHDC_84514.,2.395910606,-0.924379894,-0.666999249,0.409352705
CTRB2_440387.,2.3953264,-0.984370705,-1.009013288,-0.764214612
LYG2_254773.,-2.394959224,1.293853369,0.078408417,0.985793043
IFNA10_3446.,-2.394144227,0.643874263,0.06324008,1.505796086
ARID5A_10865.,-2.393118897,1.147389171,1.066725724,0.902180107
SPINT1_6692.,-2.392908269,0.284388195,1.411900837,-1.130418396
DFNA5_1687.,2.392551954,-0.914718118,-0.356747314,-0.681193744
VWC2_375567.,2.388824017,-1.995837819,-1.416845682,0.441008132
SETD5_55209.,2.381638884,-1.373117375,-0.817251684,-0.77167276
KIFC3_3801.,2.379573424,0.517107994,-1.046037301,-1.630686727
MGME1_92667.,-2.379517021,0.357023485,0.595499447,1.169767579
TEKT4_150483.,-2.379266542,0.662491369,0.336444266,0.916585259
SLC26A11_284129.,2.379170996,-0.979979743,-1.358333898,0.528499324
FAM208B_54906.,-2.378261306,0.070407051,-0.532467595,2.408027951
MBOAT7_79143.,-2.377721502,1.397988643,1.782527093,-0.872709174
ITCH_83737.,-2.376537729,1.667091197,-0.365584601,0.295430919
FAM171A2_284069.,2.372570107,-1.906618043,-2.011460501,1.313116866
THTPA_79178.,-2.371479023,-0.311753787,0.344241546,0.643269546
SLC39A11_201266.,2.369862248,-1.871380346,-1.76064736,0.353457717
RGS19_10287.,-2.36945934,2.467902643,0.529481904,-0.896936486
MYLK3_91807.,2.369224619,0.113810111,0.500673151,-2.211868207
STX2_2054.,-2.36897746,1.68675299,0.529373674,-0.370403006
PSMG2_56984.,-2.364286781,0.429762114,0.238725085,-0.004142329
MRPL32_64983.,-2.363396083,1.661550351,0.679067578,-1.14624349
NEUROG2_63973.,-2.363325437,0.341078415,1.590937791,-0.529832548
TMEM196_256130.,2.361331689,-1.236472867,-1.416147207,0.023316862
CA12_771.,-2.359203701,1.259652397,2.239116989,-1.012782642
