,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
ABCB8_11194.,0.068481941,0.065567309,-0.190687957,0.132085698,0.035609699,-0.104744566,0.139827242,-0.031586664,0.044545248,0.08541016,0.166524454,0.033730668,0.015803752,-0.027153269
ABCB9_23457.,-0.154489248,-0.077535509,0.040689712,-0.106278603,-0.035215253,-0.062903367,-0.132299889,-0.026657229,-0.01204583,-0.032759335,-0.194899381,-0.047237669,-0.071392199,-0.108642729
ABCC1_4363.,0.023267119,-0.013450336,0.078927447,-0.007114535,0.072256239,0.051367927,0.056147384,-0.044874817,-0.037843951,0.007726807,0.099011785,-0.020581455,0.021665288,-0.004227903
ABCC10_89845.,0.004988764,-0.130416443,-0.021967472,-0.008300367,-0.241359622,-0.069283029,-0.176750235,-0.040645666,-0.126087476,-0.097018909,0.027217861,0.013988113,-0.224003158,-0.124059896
ABCC11_85320.,-0.023601492,0.127645186,0.072880531,0.042582721,0.029996947,-0.001684139,0.026191378,0.013059292,0.063619675,0.080893839,0.039283897,-0.055980497,0.022414057,0.009681166
ABCC12_94160.,0.101853591,0.115008213,0.099399729,0.053655377,0.177471285,0.022443953,0.098054934,0.077376331,0.177750526,0.04129106,0.031969752,0.033351799,0.042508203,0.04590808
ABCC2_1244.,0.027855687,-0.059425652,-0.069647287,-0.01274345,0.030034695,-0.075285021,0.011676406,-0.033518908,-0.096526633,0.052797064,0.00410608,0.012250992,-0.033998455,0.035788248
ABCC3_8714.,-0.284889327,-0.150820515,-0.022538955,-0.347286544,-0.375389702,-0.086780805,-0.189300868,-0.209143966,-0.133517869,-0.354613728,-0.425343572,-0.280511894,-0.052636256,-0.10760863
ABCC4_10257.,0.106477856,0.015723736,0.182587478,0.027751581,0.044772417,0.061084128,0.121978933,-0.075278094,0.106878895,0.00969787,-0.149934085,-0.065212857,0.011419317,0.066551025
ABCC5_10057.,0.107613673,0.079719639,0.093968518,0.076557494,0.206877774,-0.042071398,0.081810527,0.066067837,0.149927041,0.158775005,0.075319578,0.098375388,-0.088244606,0.156987138
ABCC6_368.,-0.18069812,-0.069754277,0.005678025,-0.20468362,-0.221564202,-0.130219816,-0.070926282,-0.157633924,-0.080559332,-0.180531887,-0.109928289,-0.196393684,-0.315430484,-0.211334593
ABCC8_6833.,-0.051666968,0.008569431,-0.115732103,0.013936999,0.02758127,-0.000323981,0.005909257,0.098856985,-0.047302551,0.022595216,-0.005585683,0.01820004,-0.054182207,-0.122173925
