Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
FABP4,2.814286729,-1.944001836,2.283351185,-1.386677592
STX19,2.819222963,-1.777847975,0.96334924,-1.930606782
RDH16,2.811218417,-1.624331959,1.512124205,-0.725983257
PGM2,-2.815122802,2.06793479,-0.904320075,1.23771654
EFNB1,-2.812495103,1.538110172,-0.846435676,1.195927516
TBC1D21,-2.806010044,1.531762335,-1.830761624,1.903373535
AWAT2,-2.806388136,3.115827761,-0.921109926,2.290405984
BRF2,2.805650472,-3.137894445,0.328235752,-0.766837624
DDB2,-2.947442674,1.153621588,-0.066836713,2.249645147
HSD17B10,-2.797264847,2.267156973,0.371520156,0.934202256
SDSL,-2.79642683,2.315089519,-0.792756915,1.38535474
MEST,-2.801576492,2.94640783,-0.45547181,1.799894002
ZNF835,-2.798793349,2.318526815,-0.039773948,0.526012634
NAPRT,3.080523288,-0.875223434,1.474483276,-0.836852045
PAPPA2,2.788621027,-2.893161007,2.083004213,-3.603470647
HIST1H2AH,-2.793961162,1.227106131,-1.067583116,3.225422857
KSR2,2.787173528,-2.991704843,0.682523077,-1.688154658
CYB5B,3.036832567,-2.126290216,2.074183005,-3.270643376
DSCR8,-2.791672675,1.600508291,-0.329640033,2.953232571
HIPK4,-2.783329342,2.219059154,0.169962075,1.241662866
FGFBP3,-2.788304729,2.304628125,-0.115769909,0.655667624
NME1,-2.778193777,1.938719904,-1.153512104,1.941356881
PPT2-EGFL8,-2.781480533,2.498556101,-0.084952224,0.632630499
CSRP3,2.778181398,-2.1783831,1.55871657,-1.716460975
COX18,3.560196248,-1.338219159,0.646625026,-2.432345433
NME3,-2.907157182,1.320934978,0.828791894,-0.724404676
ANK3,2.761950518,-3.20252358,1.264683836,-1.002676111
CDX1,-2.760414626,3.005089852,0.062335946,0.627433238
SLC16A4,-2.76173116,2.715988374,-2.17633731,1.402302304
KCNA10,-2.755200693,2.261682831,-0.333800145,1.071405211
LINC01559,3.528297319,-1.315966535,1.473924737,-2.349406863
TREML1,2.752730205,-3.771926171,-0.094294348,-0.904053561
PGBD3,2.756785294,-2.26783336,1.57881452,-1.03918497
SESN2,-2.75575107,1.608026126,-1.970415597,0.946841311
DGKA,-2.75533766,3.005145863,0.228919327,-0.556884047
ZNF383,-2.755253188,1.617338079,-0.151339249,0.466134978
RIMKLB,2.754897676,-4.332030039,1.43290294,-1.876491709
VN1R10P,2.754412338,-2.890834656,-0.020811898,-0.663292387
AVEN,-2.753524561,1.565582923,-0.119964649,1.808849012
MMP23B,-2.752386301,2.989816966,-0.076499415,0.167922867
DIRAS1,-2.746122439,2.803141941,0.177879456,1.273426515
TAS1R2,2.740237181,-1.820800895,0.010509322,-2.629335619
NUDT6,2.739656206,-2.773177512,1.245362905,-2.219835181
TAGLN2,-2.742246508,1.400155793,-1.345242977,2.206696281
RUFY1,-2.735880259,2.843915422,-0.67229291,3.113867938
CLN8,-2.741112991,1.039125905,0.159163679,1.833736716
VN1R1,-2.737132922,2.058654851,-0.481319589,1.403440032
MAP2K1,-2.731477012,3.346280464,-0.403365751,2.290950519
MAP2K3,2.728327383,-0.978658737,1.357131892,-2.011295878
UHRF1,-2.727749466,3.74685497,-1.282167805,1.171040623
COQ8A,2.727344193,-1.349428927,1.320911215,-2.105996628
FAM92A1P2,-2.732489488,0.772065544,-0.230321698,0.988447019
POLR2M,2.731588117,-1.728323854,0.219776144,-1.563373759
RIPK4,-2.725370909,2.744655652,-1.354964313,1.649208031
CRYGA,-3.467614011,1.393322376,0.544139498,0.774667707
HTR1D,2.720895174,-3.712919102,-0.308754539,-0.675654469
CALCRL,-2.726331092,2.297392957,-1.994182936,1.036677714
ZFX,2.725664019,-3.443336874,-0.835101702,-0.740949292
AIRE,-2.716935038,1.613702339,-1.087801023,1.132683017
ANGPTL1,-2.720794812,2.88576098,-1.280845821,1.064563752
WDFY4,-3.018677406,2.257740767,0.207290586,-0.096775494
DMTF1,2.711238487,-3.269603257,0.027198831,-0.716849916
ART4,2.716295672,-1.821311838,0.345055483,-1.863375706
DSP,-2.707342343,2.003421327,-0.759939203,1.038082713
TEX11,-2.711739827,2.119306772,-1.736503356,1.510430205
XRCC5,-2.706197797,3.158701432,0.198759402,1.342450535
AGO4,2.71045609,-3.110470377,1.4516997,-2.388717685
CRYGS,-2.710213015,1.558651338,-0.144486355,0.687404433
TMEM42,-2.708755285,2.042856865,-1.172028988,1.397331259
NFKBIL1,-2.708443528,2.13696425,-0.769291674,1.408622157
C7orf43,-2.707726358,1.212588183,-0.858663378,2.240920876
USP20,-2.701620132,1.898027047,-2.190750345,1.325424236
FAM181B,-2.706567545,1.998166427,-2.044322937,1.783224254
SCOC,-2.700736685,1.888498489,-1.257059152,1.709459432
KDELC2,-2.700623251,2.955635829,0.444049039,1.479167345
TBC1D32,2.699740447,-2.260629451,0.754284824,-0.224189839
CD3D,2.697921781,-2.656381042,0.211036645,-1.492037753
HES7,-2.993532774,0.793130963,-0.264176623,0.398261565
WDR26,-2.692070315,1.801579651,0.522687203,0.869573284
HIF3A,2.691674345,-1.83667174,0.092140619,0.437694827
EPHB1,-2.689401325,2.505348038,0.698245987,2.193556732
SPP1,-2.68918012,2.564276839,-0.259338375,0.908978481
ADM,2.68915691,-1.97978424,1.421371359,-2.467381258
FGD1,-2.68817116,1.851497022,-0.881108484,1.37952809
HS3ST3B1,-2.687511899,1.751529196,-0.558002271,1.697557434
GPR101,-2.686732042,0.983708408,-0.879690527,2.17322229
ZNF813,-2.691242221,2.414858055,-0.23035216,0.782112992
CTNNBL1,-2.684732665,2.955684248,0.465711607,0.927804347
PPBP,2.684722843,-1.73863863,1.018651294,-1.652419773
FAM3D,-3.40102667,2.986859385,-0.486107609,1.877245672
OLIG2,-2.682397642,3.012946383,-0.402059021,0.144499667
REM1,2.681106162,-2.550064268,0.593924393,-2.067712679
NRP1,-2.680626965,0.669051066,-2.537131854,1.578512315
CDK8,2.680021171,-1.581894804,0.771095468,-1.258760521
